Codi,Districte,Nacionalitat,Nombre,%
1,CIUTAT VELLA  ,TOTAL POBLACIÓ  ,102138  ,100.0  
1,CIUTAT VELLA  ,Espanyola  ,54831  ,53.7  
1,CIUTAT VELLA  ,Estrangera  ,47287  ,46.3  
2,EIXAMPLE  ,TOTAL POBLACIÓ  ,266754  ,100.0  
2,EIXAMPLE  ,Espanyola  ,210497  ,78.9  
2,EIXAMPLE  ,Estrangera  ,56192  ,21.1  
3,SANTS-MONTJUÏC  ,TOTAL POBLACIÓ  ,182184  ,100.0  
3,SANTS-MONTJUÏC  ,Espanyola  ,145160  ,79.7  
3,SANTS-MONTJUÏC  ,Estrangera  ,37005  ,20.3  
4,LES CORTS  ,TOTAL POBLACIÓ  ,82182  ,100.0  
4,LES CORTS  ,Espanyola  ,71835  ,87.4  
4,LES CORTS  ,Estrangera  ,10334  ,12.6  
5,SARRIÀ-  SANT GERVASI ,TOTAL POBLACIÓ  ,149837  ,100.0  
5,SARRIÀ-  SANT GERVASI ,Espanyola  ,131233  ,87.6  
5,SARRIÀ-  SANT GERVASI ,Estrangera  ,18580  ,12.4  
6,GRÀCIA ,TOTAL POBLACIÓ  ,121593  ,100.0  
6,GRÀCIA ,Espanyola  ,100950  ,83.0  
6,GRÀCIA ,Estrangera  ,20611  ,17.0  
7,HORTA-GUINARDÓ  ,TOTAL POBLACIÓ  ,170249  ,100.0  
7,HORTA-GUINARDÓ  ,Espanyola  ,147380  ,86.6  
7,HORTA-GUINARDÓ  ,Estrangera  ,22862  ,13.4  
8,NOU BARRIS  ,TOTAL POBLACIÓ  ,168327  ,100.0  
8,NOU BARRIS  ,Espanyola  ,139773  ,83.0  
8,NOU BARRIS  ,Estrangera  ,28546  ,17.0  
9,SANT ANDREU  ,TOTAL POBLACIÓ  ,148560  ,100.0  
9,SANT ANDREU  ,Espanyola  ,129793  ,87.4  
9,SANT ANDREU  ,Estrangera  ,18757  ,12.6  
10,SANT MARTÍ  ,TOTAL POBLACIÓ  ,237112  ,100.0  
10,SANT MARTÍ  ,Espanyola  ,195858  ,82.6  
10,SANT MARTÍ  ,Estrangera  ,41228  ,17.4  